ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,cohd,avail_fruits,avail_veg,UPFretailval_percap,safeh20,pou,fies_modsev,pctcantafford,MDD_W,MDD_iycf,All5,zeroFV,zeroFV_iycf,NCD_P,NCD_R,SSSD,fs_emissions,emint_cerealsnorice,emint_beef,emint_cowmilk,emint_rice,yield_cereals,yield_fruit,yield_beef,yield_cowmilk,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_r,underemp_r,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_plant,genres_animal,rcsi_prevalence,fpi_cv,foodsupplyvar,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,yield_eggs,emint_eggs,emint_chickenmeat,emint_pork,yield_citrus,yield_chickenmeat,yield_pork,yield_pulses,yield_roottuber,yield_treenuts,pop_u,prod_cereals,prod_citrus,prod_fruit,prod_eggs,prod_beef,prod_chickenmeat,prod_pork,prod_pulses,prod_cowmilk,prod_roottuber,prod_treenuts,prod_vegetables,prod_cerealsnorice,prod_rice,areaharvested_cereals,areaharvested_citrus,areaharvested_fruit,producinganimals_eggs,producinganimals_beef,producinganimals_chickenmeat,producinganimals_pork,areaharvested_pulses,producinganimals_cowmilk,areaharvested_roottuber,areaharvested_treenuts,areaharvested_vegetables,agland_area2010,agland_area2015
JAM,388,Jamaica,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,6.6810002,298.79453,265.72601,136.72394,,6.9,50.299999,66.199997,,,,,,,,,5751.5498,0.42109999,43.367901,1.1463,6671.0288,1.1143,12.6939,259.6,2209.8,15.7127,0,1.0533124,95.39411239,,8.6000004,0.846218845,8.6832705,7.1459999,,52.770962,27.687292,2.7,,0.79000002,0,3,0,0.414420515,80,0,1.487,50,1,0,0.711788833,97.031303,0.39257818,94.354836,,,,0.68641692,28,2973462,13638230996,4586.6504,10.83,4.4400001,2.1500001,0.13015,0.4084,0.40650001,6.0376,12.3932,0.01648,71.9,1.118,17.273,,2350.8921,2018,146438,373962,11245,7124,123636,7986,2075,12205,285781,,266000,2018,,1811,11816,29460,864,27.439,75022,111.141,1856,5.523,16545,,16929,4.4400001,4.4400001
JPN,392,Japan,High income,Eastern Asia,1,142,Asia,30,Eastern Asia,,,East Asia & Pacific,5.8080001,91.369858,265.0137,1157.2639,98.56544671,3.2,3.8,2.5,,,,,,,,,222193.72,0.1593,11.5141,0.2922,1.0009,6.0503,16.3374,450,8866.6,27.4507,-0.56724608,12.488372,86.40085678,20.85785076,11.89,0.823934216,1.12877,1.8839999,,,,,,0.68099999,15.55849,2,1,1.596165657,100,0,1.507,61,1,0.21468695,0.812752962,154.22229,0.65300965,4.9649906,224.353,0,,0.86213964,11,125681593,4.93742E+12,39285.164,364.5,43.720001,43.720001,0.172591,0.382,0.2676,0.99690002,18.8701,0.028981,78.2,1.68,26.1672,0.9713,119958.95,10922778,777958,2929692,2632882,477463,2347667,1305792,58049,7438218,3323685,16900,10221895,1171728,9706250,1805322,41227,179324,152550,1061.028,810072,16690.95,34553,838.9,127017,17400,372373,45.93,44.959999
JOR,400,Jordan,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,3.6140001,109.0685,243.86302,146.19325,85.70051235,16.9,43,14.9,60.72,34.95321,28.22,12.23,41.08646,2.86,2.36,45.14,8046.25,0.1321,1.4328001,0.27950001,,1.7102,21.5975,245.1,7135.2,45.8977,-1.9024382,59.199574,97.75658377,22.9915038,2.3499999,0.989885538,5.20222,17.525,0.2,73.193092,18.492048,1.2,,0.63999999,0,3,1,0.114770152,40,0,0.48100001,61,1,0,0.790147483,68.487694,0.38712391,0,4.748,,,0.99456054,60,10269022,45243661972,4405.8394,88.794006,10.29,2.8699999,0.384884,0.14740001,0.5413,,16.8035,0.007919,,4.3374,37.3466,4.4879,10229.101,95201,108786,558727,71627,30733,200034,,3882,319900,192746,2401,1401350,95201,,55667,6474,25870,1861,125.376,252612,,895,44.834,5161,535,30532,10.023,10.563001
KAZ,398,Kazakhstan,Upper middle income,Central Asia,1,142,Asia,143,Central Asia,,,Europe & Central Asia,2.6570001,135.0685,630.52057,202.50439,89.33464774,2.5,2.7,1.2,88.28,48.98081,24.54,3.75,21.21459,3.52,3.89,33.92,61612.582,0.1052,18.2339,1.0848,1.3528,1.2883,17.2933,176,2364.2,26.2817,-0.032272238,14.583526,91.20488288,,0.49000001,0.806159198,5.32232,3.2420001,,49.210308,32.561813,,,0.47400001,5.7341013,2,1,0.155508265,80,0,-0.204,63,1,0,0.608038545,129.38318,0.53209788,2.4858756,,,,0.54187262,69,19002586,1.90814E+11,10041.49,2699.7,2140.032,296.85199,0.121428,0.41589999,0.31779999,1.2014,15.7547,0.017298,73.3,0.9903,20.6742,2.3485,15320.012,20179388,835,2863721,252363,521847,228630,87478,356170,6004364,4006780,3309,4450783,19189298,556775,15663732,53,165597,20783,2965.052,132168,1193.106,359665,2539.679,193806,1409,169349,2171.6179,2162.5969
KEN,404,Kenya,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Sub-Saharan Africa,2.9679999,177.20547,140.35617,36.044453,,26.9,69.5,81.099998,69.26,36.30892,38.32,7.06,28.68903,3.99,1.58,22.37,63193.348,0.1831,87.459,2.3714001,0.4461,1.8062,17.6281,125,791.8,18.5416,0,10.534202,89.16310981,6.1140158,0.25,0.74672787,35.1507,3.5009999,5.3000002,27.400894,5.927104,18.799999,,0.69999999,10.85477,1,1,-0.354368836,60,0,0.866,50,1,0.22655788,0.736463606,114.20387,0.33237764,15.773809,51.405,0,34.574406,0.73215932,42,54985702,1.10347E+11,2006.8323,569.14001,276.29999,63.299999,0.052961,1.0930001,2.1336,6.4531999,10.819,0.014,65,0.7429,11.7526,1.3562,46435.855,4881292,349919,4373793,110370,244217,69212,25785,1283168,4048117,3472001,36311,3602389,4700402,180890,2702555,32343,248115,20840,1953.734,49437,396.691,1727210,5112.34,295423,26775,194287,273.20001,276.29999
KIR,296,Kiribati,Lower middle income,Oceania,1,9,Oceania,57,Micronesia,,,East Asia & Pacific,,201.80823,130.24658,44.214676,14.68780908,4.2,41,,,9.30185,,,51.44994,,,,38.005901,,,,,,5.9486,,,12.697,0,,40.13249366,22.9915038,,1.226426553,30.0797,,,4.5714588,5.6175632,7.0999999,,,0,3,1,-0.13622129,80,1,,,0,0,0.458450615,45.760952,,,,,,0.002155565,46,121388,180911843.6,1514.5911,0.81,0.34,0.34,0.024455,2.0506001,1.9376,7.0265999,,0.008975,40.6,,5.6127,0.6581,110.032,,,9024,247,,981,1017,,,1942,281,5993,,,,,1517,101,,1093,25.068,,,346,427,472,0.34,0.34
KWT,414,Kuwait,High income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,3.6059999,158.16438,434.08218,508.71423,99.9,2.7,12.2,,,,,,,,,,9160.3262,0.14480001,15.6268,0.28470001,,10.3182,30.0053,281.5,7005.4,75.499,0.8571434,3892,98.46915904,2.598021559,2.29,0.975104244,0.44466999,2.7390001,,,,,,0.46000001,0,2,1,-0.158228844,80,0,0.50199997,,1,0,0.797653317,158.53491,0.46735254,0,,,,0.64848292,39,4328553,1.0596E+11,24811.77,17.82,1.5,0.14,0.085998,0.66009998,2.9430001,,24.4118,0.013184,,,48.7363,,2778.771,20688,415,124522,80219,1900,62553,,,67364,43619,,376740,20688,,2005,17,4150,9328,6.749,47447,,,9.616,895,,4990,1.52,1.494
KGZ,417,Kyrgyzstan,Lower middle income,Central Asia,1,142,Asia,143,Central Asia,,,Europe & Central Asia,3.1800001,89.397263,498.60275,77.475914,70.08973028,5.3,6.5999999,49.599998,,59.76541,,,13.78765,,,,8765.6445,0.090000004,13.5766,1.3147,2.408,3.2604,7.2849,182.3,1950.9,20.0199,0.1246243,30.061817,92.56550646,,0.50999999,0.715120881,13.5068,7.1259999,,57.862125,42.155098,20.1,12.38,0.48899999,19.373667,2,1,-0.540157735,40,0,0.419,62,1,0,0.656951725,130.45288,0.41422614,12.153393,2.638,0,,0.67216945,29,6694200,8543423503,1276.2427,191.8,103.678,13.641,0.067334,0.74879998,0.0297,0.266,15.8571,0.014375,64,1.6998,17.3906,1.4695,4872.769,1901476,111,457024,30913,113611,9679,14288,196684,1667973,1327163,15396,1101996,1856826,44474,583204,7,62736,4591,623.256,6733,223.139,115708,854.963,76315,10477,55045,106.119,105.562
LAO,418,Lao People's Democratic Republic,Lower middle income,South-eastern Asia,1,142,Asia,35,South-eastern Asia,,,East Asia & Pacific,4.1409998,356.79449,537.28766,50.826729,17.68190469,5.1,31.799999,79.800003,73.33,35.6975,26.5,5.11,36.16079,3.59,2.75,30.81,28204.178,0.0581,102.9033,16.1541,0.68540001,4.737,17.0423,127.2,184.2,8.0023,-4.4903989,2.1049476,94.04684822,,0.14,0.52657368,16.197599,0.53899997,0.80000001,2.1592236,29.840611,26.299999,1.7,0.29699999,0,2,1,-0.766010523,40,0,-0.88300002,,0,0.000637377,,56.35305,0.47547469,55.60667,,,,0.57592964,29,7379358,18827148530,2551.3262,230.8,20.290001,13.54,0.061415,0.86729997,4.6127,9.368,8.2283,0.008045,27.9,1.5672,29.2182,,4710.3159,4837336,98665,1146352,17313,37409,35698,97575,8391,7300,6937651,,1533045,1150000,3687336,1021188,11991,67265,2819,294.185,44371,3503.241,5354,39.639,237443,,191575,22.200001,23.33
LVA,428,Latvia,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,3.24,134.21918,243.56165,409.49472,96.28940218,2.5,9.3999996,1.8,,,,,,,,,8920.0996,0.069799997,35.9091,0.6433,,4.6628,2.5658,200,7264,27.4,1.5860014,0.15492272,94.57266518,64.02445085,1.42,0.783943726,3.7751501,9.0539999,2.4000001,80.301247,32.36937,,46.799999,0.824,70.824524,2,1,0.882272065,80,1,1.538,,1,0,0.699402094,108.75629,0.45493555,0,2.135,,,0.73261219,16,1883162,38872546229,20642.168,62.23,19.690001,13.43,0.157013,0.50620002,0,2.3859,,0.016834,84,3.2358,21.3059,,1190.918,3497100,0,19500,47104,16030,35140,37260,137200,988200,181100,0,68500,3434700,,750000,0,7600,,80.15,20874,443.35,42400,136.04,8500,0,2500,18.049999,18.844999
LBN,422,Lebanon,Lower middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,,233.58905,297.94519,230.43568,47.7,10.9,29.1,,55.75,,25.92,10.94,,3.17,1.22,15.88,4958.6362,0.1248,1.0734,0.31990001,,3.1001,16.3146,207.9,6235.4,25.0025,0.34635022,15.545192,77.14348907,1.820807169,6.73,0.7724856,2.50437,11.785,,54.560764,,,8.6000004,0.685,0,3,0,-1.169723749,60,0,0.58899999,9,1,0,0.877193809,62.826981,0.11822026,22.962963,2.229,0,,0.46591961,21,6769151,18076624840,2670.4419,10.23,6.6966996,2.6967001,0.131018,0.41870001,1.9517,2.5637,27.4742,0.019549,55,1.8846,27.7231,5.1343,6138.4541,174469,301447,1036334,42227,44265,126010,774,13147,322102,629148,36407,680318,174469,,56278,10972,63522,3223,212.887,64459,14.069,6976,51.657,22694,7091,27210,6.4000001,6.6500001
LSO,426,Lesotho,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,Sub-Saharan Africa,4.2659998,43.890411,72.356163,35.901371,28.90641412,34.7,54.400002,83.5,,16.69523,,,35.13867,,,,1753.7032,0.15000001,226.132,1.336,,0.8824,4.0427,150,1405.4,9.047,12.566667,0.12574454,89.68526724,,0.029999999,1.10492198,6.3680902,30.281,4.1999998,71.668556,12.953455,8.1999998,34.900002,0.80299997,0,2,1,-0.912311554,80,0,0.99900001,26,0,0,,72.944275,0.31916386,1.396648,3.582,,30.23299,0.56833923,114,2159067,2518468891,1166.4617,30.360001,26,6,0.051136,1.0602,0.2252,14.6496,,0.007998,58.2,0.3469,17.2658,,1120.821,98821,,15350,1396,1686,1902,736,2519,173333,128803,,31936,98821,,111990,,3797,273,11.241,2378,12.648,7261,123.333,7460,,3530,23.26,22.23
LBR,430,Liberia,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.9030001,109.9726,78,21.67144,,38.3,80.599998,96.800003,,8.60743,,,55.75479,,,,15160.689,,42.462399,1.3587,0.4648,1.125,5.2184,125,1383.2,4.9735,0,0.005301724,85.03812117,3.373635554,,0.954878413,42.597301,1.082,7.9000001,14.254672,3.3959706,21.1,,0.884,0,2,1,-1.409893036,40,0,1.0369999,45,1,0,,32.682964,0.38132954,71.91011,,,,0.84990269,26,5180208,3486741370,673.08905,96.32,19.5404,7,0.051527,1.1224999,1.9855,6.6771998,3.665,0.008618,45.2,0.716,8.2638,0.9691,4134.1611,270000,7898,205631,6379,1177,15308,13921,3859,9435,705730,2887,120806,,270000,240000,2155,39405,1238,9.419,17762,308.26,5390,6.821,85400,2979,24290,17.1196,18.632601
LBY,434,Libya,Upper middle income,Northern Africa & Western Asia,1,2,Africa,15,Northern Africa,,,Middle East & North Africa,,195.9726,538.35614,61.202934,,,39.400002,,,,,,,,,,12006.641,0.32480001,16.561399,1.6429,,0.6724,7.6318,196.5,1142.9,15.4941,0,692.85712,99.29661125,,0.38,1.135445244,0.81930703,19.271999,,,,,,0.648,0,2,0,-2.009432554,60,0,0.34,,0,0,,42.524754,0.27279541,0,2.345,,,0.52586877,19,6958538,41879579677,6018.4453,1759.54,153.5,20.5,0.074511,0.77689999,0.8423,,10.1228,0.011925,,1.6853,19.9212,0.5743,5117.0371,209411,84515,685416,72015,7010,129748,,7380,146689,366749,34688,688745,209411,,311425,8349,89811,9665,35.668,108807,,4379,128.353,18410,60396,44452,153.50999,153.5
LIE,438,Liechtenstein,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,,,,1007.3646,99.9,,,,,,,,,,,,8.2252998,,,,,,,,,,-0.9929086,,99.74398361,,,,0.129325,,,,,,,,0,3,0,1.824067712,80,0,,,1,,,128.21811,,0,,,,,,38254,6427248943,169049.16,0.16,0.053200003,0.014099999,,,,,,,,,,,40.051998,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057300001,0.052699998
LTU,440,Lithuania,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,3.099,129.58904,264.35617,415.90662,94.92379005,2.5,9.8000002,1.2,,,,,,,,,18221.613,0.1233,19.999901,0.73140001,,4.7342,2.8635,267.2,6389,17.3259,0.68189901,0.2332245,78.57940369,37.82191415,1.12,0.741983958,3.2882299,10.702,2.4000001,81.905312,33.187428,,47.700001,0.801,0,2,0,1.058810353,100,0,1.531,,1,0,0.748406887,134.88631,0.51761067,0,2.246,0,,0.80708581,20,2795321,65503849705,23433.391,62.619999,29.428001,22.848,0.092747,0.93309999,0.28830001,2.0919001,,0.018168,83,2.9566,15.7255,,1787.427,6544720,0,68580,40614,43410,97060,80370,390710,1488000,296740,0,164250,6051980,,1382440,0,23950,,162.46,53425,968.28,132150,232.9,18870,0,9480,27.723,30.058998
LUX,442,Luxembourg,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,2.661,237.89041,246.57535,838.70831,99.9,2.5,2.8,0.1,,,,,,,,,1840.1324,0.2877,28.8876,0.56650001,,5.7368,10.1519,369.5,8248.9,23.0667,-0.20883948,0.014285714,98.22015577,,2.0699999,1.000713296,0.216204,5.4450002,3.7,,,,15.9,0.96100003,0,2,0,1.842216492,100,0,1.753,,1,0,0.745506167,142.17752,0.64446121,0,,0,,0.81054056,29,639070,86710803337,135682.8,2.57446,1.32136,0.63685,0.229789,0.55239999,0.1293,1.905,,0.013568,87.1,3.4737,26.4032,3,531.05902,146230,0,16040,2183,10340,0,12490,1320,447340,16370,30,3460,118990,,25490,0,1580,,27.98,0,143.41,380,54.23,620,10,150,1.3103999,1.3127
MDG,450,Madagascar,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Sub-Saharan Africa,3.181,117.53425,46.602741,17.204744,20.53937743,48.5,61.099998,97,,24.69239,,,26.35432,,,,39845.645,0.1037,269.5397,6.3676,2.0680001,2.4702,4.9856,125,294.9,9.2767,0,3.8575668,98.77477177,11.35654195,0.20999999,0.752033761,24.115801,1.044,,5.6994309,,29.799999,15.28,0.69400001,8.358531,2,0,-1.001947999,40,0,0.57300001,27,0,0,0.561075389,57.307392,0.42766407,29.53668,7.825,0,49.943676,0.52108634,27,28427333,14637400396,514.90588,581.79999,408.95001,36,0.045366,1.2744,2.9579999,16.820101,6.3692,0.008,70,1.1456,7.729,0.5937,17152.871,4459253,100831,1259165,17661,34887,51440,26947,126726,491342,4205031,16986,455672,227253,4232000,1805194,15831,252560,3893,279.092,64300,384.779,110624,1666.216,544059,28609,49120,408.95001,408.95001
MWI,454,Malawi,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Sub-Saharan Africa,3.1489999,520.76715,226.32877,16.157822,,17.8,81.300003,96.599998,,22.76509,,,22.92815,,,,18263.416,0.1573,42.610901,3.1638999,1.2742,2.0044,15.7414,105.1,593.5,12.7875,0,6.747685,58.11093031,,0.62,0.764885708,21.0888,5.842,,41.523121,4.71527,10,,0.88499999,0,1,1,-0.794429541,20,0,1.072,20,1,0,0.565743268,52.298512,0.31495547,49.828766,3.253,0,46.053719,0.77470154,20,19647681,12626718074,642.65692,94.279999,56.5,38,0.044265,1.3081,0.50580001,8.8205996,8.0205,0.026031,19,0.9714,22.7958,1.0285,17469.1,4028212,233124,3713852,23146,55626,109186,226441,749693,65516,14095401,5047,1824553,3882766,145446,2009653,29066,235929,5229,529.461,41944,11889.369,771778,110.394,618333,4907,142682,56.849998,56.5
MYS,458,Malaysia,Upper middle income,South-eastern Asia,1,142,Asia,35,South-eastern Asia,,,East Asia & Pacific,3.5380001,112.73973,189.31506,142.67387,93.81821662,2.5,15.4,1.9,,,,,,,,,125535.73,0.18979999,29.774,3.2433,1.6057,3.6499,13.0606,422.7,953,20.7111,0.002486781,0.43189654,97.27555584,6.258402581,4.3499999,0.430217227,8.20609,2.1140001,,76.726212,7.6096864,,,0.65499997,0,3,1,1.041388512,80,1,0.391,47,0,0.39173454,0.579920411,135.09116,0.54543263,2.4027822,13.036,0,,0.88754666,27,32776195,3.72701E+11,11371.099,328.54999,85.709999,82.860001,0.078491,0.67900002,0.47299999,2.0401001,10.0781,0.023651,113.4,,16.2318,2.1228,31144.771,2389843,48778,1113002,806877,36944,1532028,221325,,43300,86824,16148,1171544,68207,2321636,654772,4840,85218,102799,87.404,647765,1951.28,,45.434,5349,7607,56566,73.892998,85.699699
MDV,,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,41,6144,,,,,100,,2261,2115,2611,200,,85,5,900,,,,,121,,439,430,2115,0.068999998,0.064000003
MLI,466,Mali,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.053,181.53426,317.28766,29.865669,,9.8,,74.300003,,22.23837,,,44.07281,,,,40853.766,0.125,189.8963,13.1531,0.71899998,1.686,14.3996,117.7,142.8,12.2161,0,4.2291665,89.12015399,,0,0.625887979,36.097099,7.1560001,1.7,1.3057991,15.513926,10.4,3.0599999,0.80900002,15.535151,2,0,-1.154479861,80,0,0.43799999,8,0,0,0.608311772,125.01015,0.40681201,59.114796,2.347,0,30.943245,1.1284143,32,20855724,19143741503,917.91309,1220.1899,412.01001,65.610001,0.018532,3.1238999,2.9524,44.312099,13.4562,0.007615,30.1,0.8425,16.4159,4.1173,15501.529,10352054,470146,2350297,18717,71252,57844,560,390386,284933,1073729,174955,2535287,7297854,3010027,6140166,34939,163220,10100,605.311,75957,18.585,463368,1995.914,65408,42493,207537,410.51001,412.01001
MLT,470,Malta,High income,Northern America and Europe,1,150,Europe,39,Southern Europe,,,Middle East & North Africa,3.7690001,221.94521,425.8356,533.0694,99.9,2.5,5.1999998,0.69999999,,,,,,,,,829.41992,0.1964,16.7139,0.76859999,,4.8802,24.2222,278,6948.8,13.9711,0.28901845,49.504951,64.91915728,18.44179863,,0.956470421,0.64741999,2.5569999,3.3,,,,11.1,0.83099997,0,3,0,1.039464593,80,0,1.224,,1,0,0.882179081,143.38875,0.51455265,0,0.016,,,0.77208865,25,516869,17189730470,33257.422,0.31999999,0.1038,0.1038,0.131754,0.7234,0.5636,4.3354998,12.4296,0.017078,84.1,2.8267,14.0175,,446.405,0,850,10900,5257,1140,4150,4560,0,42110,7990,0,40050,,,0,0,450,,4.1,2430,54.21,0,6.06,570,0,0,0.1033,0.1023
MHL,,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.086000003
MRT,478,Mauritania,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.6919999,35.972603,108.19179,36.723618,,10.1,45.299999,60.700001,,28.28629,,,51.46906,,,,12298.225,0.15009999,66.535698,5.3241,1.5554,1.5538,2.068,126.9,352.7,5.4169,0,10.72807,99.67515128,16.91322193,0.059999999,1.007490043,18.136999,7.3850002,3,45.215549,45.339069,12.6,,0.67000002,35.758381,2,1,-0.772208273,20,0,0.38,,0,0,0.676691532,106.08459,0.42069405,0.057012543,0.064,,48.360226,0.62475437,21,4775110,8227580740,1723.0139,1030.7,396.60999,4.1100001,0.032099,1.8028001,2.6328001,,,0.007589,,0.5338,2.8507,,3280.417,486125,,29055,5566,29716,4624,0,52361,149034,10519,,4794,121125,365000,312857,,14050,1734,234.08,6093,0,98091,422.577,3690,,885,397.10999,396.60999
MUS,480,Mauritius,Upper middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Sub-Saharan Africa,3.6040001,112.24658,195.83563,223.35272,,7.8,28.200001,13.5,,,,,,,,,1076.0236,27.5462,0.61309999,3.2147999,49.7519,9.0471,13.3665,198.1,586.9,10.9384,0,11.050527,60.1403428,,5.8699999,0.81739935,3.41028,5.5310001,,51.520134,43.454773,,27.799999,0.72799999,0,3,1,0.866075516,80,1,1.026,,0,0,0.579266727,150.41266,0.44004172,22.727272,,0,,0.39975247,24,1266060,11156657770,8812.1084,2.03,0.86000001,0.79000002,0.093007,0.62269998,1.2966,9.2921,3.3105,0.009629,67.7,,16.7459,,1318.391,769,629,24434,12435,1446,47500,606,,1800,18253,4,56606,769,,85,190,1828,1337,7.299,49332,8.945,,3.067,1090,,5175,0.91000003,0.86000001
MEX,484,Mexico,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,13,Central America,Latin America & Caribbean,3.293,329.67123,182.08218,357.3436,43.02628491,6.1,26.1,26.299999,85.77,59.44374,54.42,3.57,18.3093,4.86,2.83,37.84,237983.59,0.1724,31.752199,0.52109998,2.7448001,3.8065,15.2228,247.6,4841.7,21.794,-1.6388998,14.562838,92.73658179,19.57683097,1.8200001,0.827480545,3.8892,2.6760001,,38.447533,25.698242,5,15.7,0.43799999,10.588936,1,1,-0.155060858,80,1,0.875,82,1,0.086617723,0.710243285,95.319763,0.29500374,0.066409878,76.97,0,,0.58890641,9,130262220,1.29304E+12,9926.4229,1943.95,971.38,228.69,0.143998,0.37149999,0.40290001,2.4082999,13.7459,0.018249,81.4,0.8013,30.6779,1.6413,112164.4,36375198,8882725,23837562,3015959,2081262,3578694,1652362,1341275,12563699,2325110,288901,15098212,36048932,295338,9556004,646207,1565910,209444,8405.084,1961066,20287.616,1673845,2594.901,75791,176019,692770,1018.07,986.79999
FSM,583,Micronesia (Federated States of),Lower middle income,Oceania,1,9,Oceania,57,Micronesia,,,East Asia & Pacific,,,,,,,,,,,,,,,,,123.1449,0.0528,141.3428,,3.8494,1.6951,2.4699,136.2,,11.212,0,,98.3547442,22.9915038,,0.898322482,25.559401,,,22.295391,27.8978,,,,0,3,1,-0.082650051,40,0,,,0,0,,19.12661,,,,,,0.007288405,,116255,404178049.8,3476.6509,0.69999999,0.22,0.19,0.021957,2.3485,2.1584001,17.370399,,0.00797,30.9,,8.6505,,93.968002,278,,2628,202,250,161,1073,,,12275,,3543,106,172,164,,1064,92,1.836,202,34.691,,,1419,,316,0.22,0.22
MCO,,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,496,Mongolia,Lower middle income,Eastern Asia,1,142,Asia,30,Eastern Asia,,,East Asia & Pacific,5.1030002,33.09589,158.0274,155.96097,30.06084561,3.6,25.700001,51.400002,,45,,,45.3969,,,,40275.051,0.2949,38.636799,5.1787,,1.2186,0.4854,120.1,495.3,12.9743,0.18387304,0.72097701,99.83824755,,0.090000004,1.319851288,12.0644,4.6290002,0.5,93.89875,23.269686,7.9000001,13.8,0.64899999,64.400902,2,1,-0.343761444,80,0,0.97100002,60,1,0,0.649478853,133.11571,0.34288421,0,19.593,0,,0.54903293,51,3329282,15098022829,4534.9185,1557.5068,1126.9955,13.454799,0.118602,0.4253,2.2147,7.5475001,,0.012825,54.7,1.0679,13.8817,2.4005,2266.3689,430318,,1600,9500,158477,286,417,1462,651189,244262,5209,121569,425960,,353118,,3296,801,1319.566,223,7.623,1369,1314.828,17596,2170,9370,1142.1003,1136.644
MNE,499,Montenegro,Upper middle income,Northern America and Europe,1,150,Europe,39,Southern Europe,,,Europe & Central Asia,3.494,415.91782,273.67123,333.58627,85.07220311,2.5,14,17.5,,66.02309,,,10.64707,,,,892.99451,0.69800001,8.8028002,1.5552,,3.3384,10.3616,317.1,3004.6,14.7093,1.1604087,,97.55210996,,6.21,1.08462322,7.8661399,23.329,,56.444477,50.777447,7.6999998,12.9,0.69700003,0,2,0,-0.015012383,60,0,0.81099999,,1,0,0.762394965,171.97063,0.48881868,0,0.388,0,,0.80725384,78,620173,5809170962,9367.0166,13.45,2.5795002,0.14649999,0.105983,0.96469998,0.1445,2.5913,11.7652,0.012104,94.5,3.2331,17.2985,1.6861,411.30399,7094,12577,73505,6359,6010,3940,3000,1720,167778,23526,693,22564,7094,,2125,1069,7094,600,18.953,3255,31.761,532,55.841,1360,411,1534,5.1199999,2.3139999
